id	relative	polyx	position
aaeg|AAEL010821	0.909235668789809	A-AA	279-294
acas|ACA1_271380	0.914634146341463	A-AA	297-305
aaeg|AAEL001734	0.299559471365639	A-AA	268-278
agam|AGAP006018	0.361060329067642	A-AA	389-403
aaeg|AAEL007736	0.914841849148418	A-AA	373-381
agam|AGAP005902	0.931313131313131	A-AA	457-467
aaeg|AAEL012091	0.236693091732729	A-AA	206-214
agam|AGAP029578	0.223029045643154	A-AA	212-220
aaeg|AAEL014125	0.33864118895966	A-AA	156-165
agam|AGAP000488	0.5	A-AA	295-304
aaeg|AAEL015073	0.0280898876404494	A-AA	9-23
agam|AGAP008569	0.0346820809248555	A-AA	11-27
aaeg|AAEL017229	0.456029011786038	A-AA	499-509
agam|AGAP008232	0.417741935483871	A-AA	514-524
aaeg|AAEL020592	0.351679104477612	A-AA	939-948
agam|AGAP002982	0.342024013722127	A-AA	993-1003
aaeg|AAEL022608	0.754774305555556	A-AA	866-875
agam|AGAP003118	0.85405872193437	A-AA	985-995
aaeg|AAEL004415	0.56929955290611	A-AA	378-388
apis|J9K7C9	0.561461794019934	A-AA	334-344
aaeg|AAEL004415	0.56929955290611	A-AA	378-388
bflo|C3Y460	0.552631578947368	A-AA	269-279
aaeg|AAEL019795	0.756465517241379	A-AA	698-708
bflo|C3YFQ2	0.895186335403727	A-AA	572-583
aaeg|AAEL022608	0.754774305555556	A-AA	866-875
bpli|A0A3M7QR85	0.648359486447932	A-AA	451-460
aaeg|AAEL004415	0.56929955290611	A-AA	378-388
btau|BOS_13660	0.559546313799622	A-AA	292-302
aaeg|AAEL005356	0.74792243767313	A-AA	537-545
cang|A0A1Y2HEZ9	0.763025210084034	A-AA	449-461
aaeg|AAEL023730	0.569296375266525	A-AA	263-273
cint|F6SH39	0.585565476190476	A-AA	390-399
aaeg|AAEL002827	0.0546719681908549	A-AA	24-33
cowc|A0A0D2X1B5	0.114180478821363	A-AA	59-67
aaeg|AAEL003393	0.0546719681908549	A-AA	24-33
cowc|A0A0D2X1B5	0.0534069981583794	A-AA	24-36
aaeg|AAEL000584	0.6752	A-AA	418-428
cqui|CPIJ007851	0.578125	A-AA	255-265
aaeg|AAEL000826	0.838803088803089	A-AA	430-441
cqui|CPIJ019621	0.839924670433145	A-AA	443-451
aaeg|AAEL000869	0.238404452690167	A-AA	124-135
cqui|CPIJ012535	0.324358974358974	A-AA	121-134
aaeg|AAEL001734	0.299559471365639	A-AA	268-278
cqui|CPIJ011216	0.644047619047619	A-AA	265-278
aaeg|AAEL002348	0.74236641221374	A-AA	383-397
cqui|CPIJ006382	0.734790874524715	A-AA	381-394
aaeg|AAEL006725	0.888888888888889	A-AA	733-741
cqui|CPIJ010596	0.879480840543881	A-AA	707-718
aaeg|AAEL007205	0.0541237113402062	A-AA	28-37
cqui|CPIJ016033	0.06553911205074	A-AA	28-36
aaeg|AAEL007682	0.613249776186213	A-AA	681-691
cqui|CPIJ006272	0.862142857142857	A-AA	598-611
aaeg|AAEL007987	0.737120211360634	A-AA	555-563
cqui|CPIJ013454	0.710491367861886	A-AA	531-541
aaeg|AAEL008958	0.50650289017341	A-AA	347-356
cqui|CPIJ003766	0.502218934911243	A-AA	336-345
aaeg|AAEL009311	0.406889128094725	A-AA	372-386
cqui|CPIJ004077	0.416666666666667	A-AA	372-385
